Image;Length;Diameter;Branches 
P10-2_0D4 ;1610.252;9.4338624;9
P10-2_0D5 ;1199.248;11.227948;5
P10-2_0D6 ;1049.11;10.8936;5
P10-2_0D7 ;1091.938;10.34362;4
P10-2_0D8 ;997.194;8.862903;5
P10-2_4D1 ;1015.882;9.93134;4
P10-2_4D2 ;1777.722;9.5557099;21
P10-2_4D3 ;1374.956;8.9157326;6
P10-2_4D4 ;1180.728;10.529577;6
P10-2_4D5 ;1527.968;8.7870172;8
P10-2_4D6 ;1547.628;10.507014;6
P10-2_4D7 ;1472.882;11.604429;8
P10-2_4D8 ;1564.336;12.359873;11
P10-2_7D1 ;1391.686;11.109873;7
P10-2_7D2 ;1365.576;9.5332649;3
P10-2_7D3 ;1604.462;10.25035;8
P10-2_7D4 ;1561.174;9.4311763;12
P10-2_7D5 ;2111.362;8.4890095;27
P10-2_7D6 ;1779.384;8.7650204;16
P10-2_7D7 ;1930.822;8.8684751;12
P10-2_7D8 ;1621.578;10.827906;15
P10-2_10D1;1373.73;8.7448896;9
P10-2_10D2;1779.546;8.1333858;16
P10-2_10D3;1590.008;9.5721271;10
P10-2_10D4;1578.45;9.3974223;13
P10-2_10D5;1537.57;10.165451;13
P10-2_10D6;1582.412;8.0432231;12
P10-2_10D7;1796.076;9.4919736;18
P10-2_10D8;1677.208;9.2577526;8
P10-2_14D1;1492.328;10.359464;8
P10-2_14D2;1235.888;8.7563758;9
P10-2_14D3;1105.134;8.6120122;1
P10-2_14D4;1393.18;8.2347144;12
P10-2_14D5;1919.9;7.3002073;20
P10-2_14D6;1511.714;9.4050539;8
P10-2_14D7;1715.444;8.4647194;14
P10-2_14D8;1714.224;8.1624755;12
P10-2_21D1;2053.66;8.3892857;18
P10-2_21D2;1474.542;7.7865876;9
P10-2_21D3;1714.536;9.1504728;9
P10-2_21D4;1894.476;9.275687;19
P10-2_21D5;1659.64;9.4959596;12
P10-2_21D6;1859.094;8.7742806;24
P10-2_21D7;1838.344;9.231558;17
P10-2_21D8;1330.118;11.957131;8
P10-3_0D1 ;2375.64;7.7457944;24
P10-3_0D2 ;2404.004;8.3056117;24
P10-3_0D3 ;2161.112;7.5093136;21
P10-3_0D4 ;2114.804;7.6638107;22
P10-3_0D5 ;2277.686;6.9585577;19
P10-3_0D6 ;2524.352;7.5014856;20
P10-3_0D7 ;2474.884;7.8097681;29
P10-3_0D8 ;1764.702;9.3776696;13
P10-3_4D1 ;2022.01;9.4169518;18
P10-3_4D2 ;941.076;10.91111;2
P10-3_4D3 ;1225.232;11.865062;4
P10-3_4D4 ;1056.77;12.069444;6
P10-3_4D5 ;1559.82;10.620172;4
P10-3_4D6 ;2313.402;8.6711433;23
P10-3_4D8 ;1649.148;9.3895082;12
P10-3_7D1 ;1687.588;8.7551261;9
P10-3_7D2 ;1389.952;8.7268371;7
P10-3_7D3 ;1552.71;8.4944385;9
P10-3_7D4 ;1276.058;8.8399913;3
P10-3_7D5 ;1447.264;9.0456296;15
P10-3_7D6 ;1175.45;8.247107;6
P10-3_7D7 ;1104.186;9.3302892;4
P10-3_7D8 ;1280.938;9.4361384;5
P10-3_10D1;1140.96;7.8624572;4
P10-3_10D2;1329.41;8.5069503;13
P10-3_10D3;1531.35;8.3845455;15
P10-3_10D4;1631.572;9.9608486;10
P10-3_10D5;988.124;8.273416;1
P10-3_10D6;1765.834;8.1506349;14
P10-3_10D7;1585.984;9.5347979;14
P10-3_10D8;1561.376;8.0605684;14
P10-3_14D1;1828.396;8.3685481;18
P10-3_14D2;1534.518;8.2636162;9
P10-3_14D3;1519.052;8.181213;8
P10-3_14D4;1670.608;8.4904956;12
P10-3_14D5;1381.53;8.3376466;8
P10-3_14D7;1527.746;7.4828334;12
P10-3_14D8;1680.842;8.3656691;11
P10-3_21D1;1329.84;8.5936859;9
P10-3_21D2;1915.228;8.5520012;19
P10-3_21D3;1967.788;7.4928117;15
P10-3_21D4;1741.63;8.427422;9
P10-3_21D5;1950.936;7.7606261;16
P10-3_21D6;1822.86;9.2912458;11
P10-3_21D7;1919.904;7.478925;11
P10-3_21D8;1726.554;7.1868963;9
