Image;Length;Diameter;Branches 
P0-3_2D2  ;788.22;11.11655;5
P0-3_2D3  ;792.788;10.59307;5
P0-3_2D4  ;730.878;9.094165;9
P0-3_2D6  ;722.846;12.34661;2
P0-3_2D7  ;1159.758;11.251404;10
P0-3_2D8  ;1524.188;10.327045;10
P0-3_4D3  ;1472.858;11.660113;12
P0-3_4D4  ;1144.962;10.900196;6
P0-3_4D6  ;1959.86;11.013474;15
P0-3_4D7  ;985.902;9.042111;6
P0-3_4D8  ;1725.702;10.633322;16
P0-3_7D1  ;1747.708;10.467074;13
P0-3_7D2  ;1101.59;12.08156;2
P0-3_7D4  ;1833.982;11.080729;14
P0-3_7D5  ;1316.912;10.418393;6
P0-3_7D7  ;2410.03;9.1703833;28
P0-3_7D8  ;1727.356;9.4540341;11
P0-3_16D1 ;1636.618;9.1481354;13
P0-3_16D2 ;1130.304;11.95922;5
P0-3_16D3 ;1730.666;9.9587912;13
P0-3_16D4 ;2274.168;8.7241169;21
P0-3_16D5 ;1280.696;10.337462;8
P0-3_16D6 ;1703.88;11.238372;7
P0-3_16D7 ;1806.264;12.436292;11
P0-3_16D8 ;1693.866;9.5170398;7
P0-3_21D1 ;1622.264;9.3296041;10
P0-3_21D2 ;1451.14;8.9190402;10
P0-3_21D3 ;1652.872;12.288361;7
P0-3_21D4 ;2231.68;7.9039329;22
P0-3_21D5 ;1509.28;11.26543;5
P0-3_21D6 ;1701.964;8.4683377;8
P0-3_21D7 ;1731.486;8.7817951;9
P0-3_21D8 ;2156.442;8.5037908;13
P2-1_0D2  ;1107.344;7.984786;3
P2-1_0D3  ;1031.612;10.660586;2
P2-1_0D4  ;1356.914;8.869022;6
P2-1_0D5  ;1135.71;8.0707045;4
P2-1_0D6  ;748.552;9.032086;0
P2-1_0D7  ;974.272;10.36734;5
P2-1_0D8  ;750.89;9.203647;0
P2-1_2D1  ;1460.932;12.213887;1
P2-1_2D2  ;1664.516;11.844257;2
P2-1_2D3  ;1555.774;13.24209;7
P2-1_2D4  ;1652.082;11.369973;6
P2-1_2D5  ;1575.144;9.9601538;5
P2-1_2D6  ;2371.828;8.5841652;13
P2-1_2D7  ;1279.29;13.11121;3
P2-1_2D8  ;1853.158;10.953775;6
P2-1_4D1  ;1004.114;10.788721;8
P2-1_4D3  ;1552.288;11.090677;6
P2-1_4D4  ;1459.018;10.853238;14
P2-1_4D5  ;989.894;11.07357;4
P2-1_4D6  ;1112.918;12.267366;6
P2-1_4D7  ;1105.372;10.706967;5
P2-1_4D8  ;1367.68;11.625215;4
P2-1_7D1  ;1523.25;12.157116;7
P2-1_7D2  ;1584.884;10.381188;9
P2-1_7D3  ;1402.69;8.5936749;7
P2-1_7D4  ;946.806;9.301881;2
P2-1_7D5  ;1142.916;9.0603365;6
P2-1_7D6  ;1408.788;9.4302187;8
P2-1_7D7  ;1070.042;7.4155263;7
P2-1_7D8  ;1065.274;7.5339623;8
P2-1_10D1 ;792.372;10.41679;4
P2-1_10D2 ;1356.946;8.2315491;7
P2-1_10D3 ;1332.378;9.0325861;7
P2-1_10D4 ;711.068;7.06057;2
P2-1_10D5 ;1238.69;9.9039765;11
P2-1_10D6 ;1652.654;8.429983;13
P2-1_10D7 ;1415.036;7.9458874;9
P2-1_10D8 ;1388.206;8.5569106;7
P2-1_14D1 ;1656.678;9.0372503;15
P2-1_14D2 ;1398.49;9.4643701;5
P2-1_14D3 ;1456.624;9.4244231;8
P2-1_14D4 ;1056.428;10.108108;2
P2-1_14D5 ;1330.876;9.6685013;13
P2-1_14D6 ;860.916;9.496068;6
P2-1_14D7 ;2142.248;10.25245;19
P2-1_14D8 ;1695.826;9.1679816;21
P2-1_21D1 ;1036.93;9.468444;8
P2-1_21D3 ;1429.346;10.280526;8
P2-1_21D4 ;1639.112;8.3445392;9
P2-1_21D5 ;1633.69;8.5041932;13
P2-1_21D6 ;2088.78;8.389726;27
P2-1_21D7 ;1783.436;9.6963556;16
P2-1_21D8 ;1895.41;8.6567821;17
P2-2_0D1  ;1903.39;8.7323821;10
P2-2_0D2  ;1986.746;10.021975;16
P2-2_0D3  ;1880.198;9.0815861;9
P2-2_0D4  ;1675.612;8.1703259;11
P2-2_0D5  ;1989.99;7.7604626;16
P2-2_0D6  ;2059.956;7.9889764;10
P2-2_0D7  ;2402.634;7.9225569;16
P2-2_0D8  ;1827.746;8.7408369;8
P2-2_2D5  ;1634.744;8.3105366;10
P2-2_2D6  ;1203.89;10.15009;2
P2-2_2D7  ;1122.63;11.145812;4
P2-2_2D8  ;2098.338;12.014419;11
P2-2_4D1  ;1462.482;9.6939575;8
P2-2_4D2  ;2001.432;9.8333789;13
P2-2_4D3  ;1619.824;9.1972185;11
P2-2_4D4  ;1189.738;13.325544;6
P2-2_4D5  ;1403.8;10.328643;6
P2-2_4D8  ;1716.824;9.5203534;18
P2-2_7D1  ;1519.128;10.964831;19
P2-2_7D2  ;1670.972;9.5217905;14
P2-2_7D4  ;1845.952;9.2126437;10
P2-2_7D5  ;1612.148;9.1359072;14
P2-2_7D6  ;1170.854;10.997148;9
P2-2_7D7  ;2497.94;7.7421291;15
P2-2_7D8  ;1746.062;9.9821935;10
P2-3_0D1  ;1226.852;8.8949425;3
P2-3_0D2  ;962.65;8.996005;2
P2-3_0D3  ;1774.386;8.3669329;8
P2-3_0D4  ;1531.162;9.5160418;9
P2-3_0D5  ;1750.378;8.7719469;14
P2-3_0D6  ;1270.844;8.7054677;7
P2-3_0D7  ;1822.256;8.871544;8
P2-3_0D8  ;1787.044;10.302706;17
P2-3_2D2  ;1446.508;10.962141;7
P2-3_2D5  ;1185.336;8.9985955;9
P2-3_2D6  ;1348.104;10.296243;7
P2-3_2D7  ;1139.378;11.555722;6
P2-3_2D8  ;1426.31;11.925578;8
P2-3_4D1  ;1113.244;13.158329;4
P2-3_4D2  ;2066.816;11.994682;13
P2-3_4D3  ;967.288;10.34971;2
P2-3_4D4  ;1324.888;11.961728;4
P2-3_4D5  ;2021.076;10.865249;26
P2-3_4D6  ;1826.678;13.752908;6
P2-3_4D7  ;954.446;12.51066;6
P2-3_4D8  ;1425.334;10.209857;14
P2-3_7D1  ;1740.394;10.227666;11
P2-3_7D2  ;1740.214;10.113229;11
P2-3_7D3  ;2207.064;10.800477;15
P2-3_7D4  ;1454.672;11.490854;4
P2-3_7D5  ;1455.712;11.284701;6
P2-3_7D6  ;1728.564;11.753105;8
P2-3_7D7  ;1005.334;14.401432;4
P2-3_7D8  ;1488.5;12.484503;7
P2-3_16D1 ;1911.8;7.8508876;22
P2-3_16D2 ;1603.132;8.5164474;13
P2-3_16D3 ;1685.19;8.1480382;13
P2-3_16D4 ;1572.5;9.4400506;8
P2-3_16D5 ;1575.83;9.2005067;12
P2-3_16D6 ;949.89;10.14775;3
P2-3_16D7 ;1386.788;9.5021843;8
P2-3_16D8 ;2102.9;7.7968037;19
P2-3_21D1 ;1817.872;9.5045496;13
P2-3_21D2 ;1603.308;11.125177;10
P2-3_21D3 ;2276.662;7.5975406;21
P2-3_21D4 ;1973.694;7.4278467;16
P2-3_21D5 ;1911.446;8.5098645;21
P2-3_21D6 ;1734.966;9.0136788;12
P2-3_21D7 ;2036.326;7.3740064;16
P2-3_21D8 ;1986.482;7.2809591;18
P10-1_0D1 ;1931.062;9.4139082;11
P10-1_0D2 ;2031.406;8.8104259;21
P10-1_0D3 ;1690.37;8.7233367;8
P10-1_0D4 ;2110.712;7.5328553;29
P10-1_0D5 ;1751.6;8.3306045;10
P10-1_0D6 ;1472.736;8.473851;4
P10-1_0D8 ;1879.496;9.3166667;13
P10-1_2D1 ;634.29;13.55591;3
P10-1_2D2 ;1310.432;11.487334;8
P10-1_2D4 ;1353.878;11.780834;0
P10-1_2D5 ;1560.928;11.973336;13
P10-1_2D6 ;1681.554;8.5957756;9
P10-1_2D8 ;797.88;11.81999;1
P10-1_4D1 ;1405.988;9.7384978;9
P10-1_4D2 ;684.91;9.168013;6
P10-1_4D3 ;1276.438;11.589594;7
P10-1_4D4 ;1259.57;9.1618421;9
P10-1_4D7 ;1231.31;8.9861233;5
P10-1_4D8 ;697.506;11.81075;4
P10-1_7D1 ;1403.616;9.6459321;12
P10-1_7D2 ;1092.082;9.9140177;2
P10-1_7D4 ;1582.906;9.18243;7
P10-1_7D5 ;808.518;9.20582;2
P10-1_10D1;1703.882;7.7749839;18
P10-1_10D2;2174.222;9.2374773;22
P10-1_10D3;1669.236;8.7858097;12
P10-1_10D4;2146.09;9.275103;24
P10-1_10D5;1620.372;8.4039804;11
P10-1_10D6;1816.27;9.9223181;18
P10-1_10D7;1906.076;8.7977693;10
P10-1_10D8;1891.964;9.4881366;15
P10-1_14D1;2520.958;8.5449413;20
P10-1_14D2;1940.628;8.755824;12
P10-1_14D3;1348.3;8.5740592;7
P10-1_14D4;2372.538;7.2461912;10
P10-1_14D5;1491.202;8.040566;13
P10-1_14D6;1774.386;9.0007864;15
P10-1_14D7;2122.66;7.8381939;19
P10-1_14D8;2692.598;8.1961053;24
P10-1_21D1;1351.058;8.6984029;10
P10-1_21D3;2090.754;9.0933642;14
P10-1_21D4;1530.882;9.1919046;11
P10-1_21D5;1150.554;9.3117006;3
P10-1_21D7;1542.314;9.9135962;9
P10-1_21D8;2007.4;9.8157465;11
P10-2_0D1 ;2070.498;8.9687996;25
P10-2_0D2 ;2233.262;6.9246592;21
P10-2_0D3 ;1704.39;10.956711;15
P10-2_0D4 ;1812.818;9.625;16
P10-2_0D5 ;1718.158;9.3417349;12
P10-2_0D6 ;1437.802;8.4386165;9
P10-2_0D7 ;2199.304;9.3165523;18
P10-2_2D1 ;2059.32;10.516016;17
P10-2_2D2 ;2046.662;9.3539248;20
P10-2_2D3 ;2048.18;10.231812;13
P10-2_2D5 ;1517.402;11.156814;7
P10-2_2D6 ;1562.956;10.822194;7
P10-2_4D2 ;1983.912;10.934915;25
P10-2_4D3 ;1179.198;11.067426;6
P10-2_4D4 ;1926.898;10.315627;11
P10-2_4D5 ;1252.464;9.6842336;12
P10-2_4D6 ;1846.172;10.261374;13
P10-2_4D7 ;1856.112;9.6319631;13
P10-2_4D8 ;1260.6;10.954342;3
P10-2_7D1 ;1028.136;10.251375;5
P10-2_7D2 ;1413.362;9.3593564;10
P10-2_7D3 ;2171.098;10.945616;22
P10-2_7D4 ;1668.872;10.482556;16
P10-2_7D5 ;1758.324;9.1743812;10
P10-2_7D6 ;1839.67;8.7114286;11
P10-2_7D7 ;1374.274;11.399025;11
P10-2_7D8 ;1760.322;9.0111928;14
P10-2_16D1;2099.908;8.3596864;18
P10-2_16D2;1125.702;8.6653563;5
P10-2_16D3;2005.862;8.1407169;27
P10-2_16D4;894.382;9.553362;3
P10-2_16D5;1152.474;7.9801471;8
P10-2_16D6;1729.912;7.7676236;12
P10-2_16D7;1283.37;9.7330564;7
P10-2_16D8;1651.708;9.4117647;12
P10-3_0D1 ;2386.21;7.111644;18
P10-3_0D2 ;1998.87;8.4729877;13
P10-3_0D3 ;2369.68;8.9159252;23
P10-3_0D4 ;1964.812;11.72692;9
P10-3_0D5 ;2615.884;6.9098753;14
P10-3_0D6 ;2374;8.5105553;24
P10-3_0D7 ;1780.332;10.15418;14
P10-3_0D8 ;2395.682;8.787627;21
P10-3_2D5 ;2193.514;9.4823484;18
P10-3_2D6 ;1693.668;10.540163;9
P10-3_2D7 ;1630.472;11.838963;10
P10-3_2D8 ;1936.706;9.2265918;8
P10-3_4D4 ;1850.274;10.936751;9
P10-3_4D5 ;1940.404;10.429561;9
P10-3_4D6 ;1652.614;10.724686;8
P10-3_4D7 ;1738.404;10.8023;13
P10-3_4D8 ;1605.132;11.771649;3
